Nation,s0,f0,s1,f1,s2,f2,s4,f4,s5,f5,s6,f6,s7,f7,s8,f8,s9,f9,s10,f10,s11,f11,s12,f12,s13,f13,s14,f14,s15,f15,s16,f16,s17,f17,s18,f18,s19,f19,s20,f20,s21,f21,s22,f22,s23,f23,s24,f24,s25,f25,s26,f26,s27,f27,s28,f28,s29,f29,s30,f30,s31,f31,s32,f32,s33,f33,s34,f34,s35,f35,s36,f36,s37,f37,s38,f38,s39,f39,s40,f40,s41,f41,s42,f42,s43,f43,s44,f44,s45,f45,s46,f46,s47,f47,s48,f48,s49,f49,s50,f50,s51,f51,s52,f52,s53,f53,s54,f54,s55,f55,s56,f56,s57,f57,s58,f58,s59,f59,s60,f60,s61,f61,s62,f62,s63,f63,s64,f64,s67,f67,s68,f68,s69,f69,s70,f70,s71,f71,s72,f72,s73,f73,s74,f74,s75,f75,s77,f77,s78,f78,s79,f79,s85,f85,s87,f87,s88,f88
Tinell,75.83,75.83,16.5,16.5,72,72,1.29,1.29,30.63,30.52,44.83,44.83,788.27,941.97,27.25,27.25,164.25,164.25,-8.83,-10.39,-6.2,-6.2,2188.62,1657.87,311.6,316.5,1261.24,1371.51,2136.69,2170.31,1372.53,828.94,741.91,753.58,945.93,960.81,593.52,602.86,2633.76,2675.2,2244.26,2279.58,408.05,414.47,1149.95,1168.05,-3.92,-3.92,808.68,821.4,3561.15,2486.81,14.7,14.8,1576.55,1601.35,927.38,941.97,463.69,470.99,602.8,612.28,1207.99,1207.99,77.33,77.33,17.36,17.36,32.6,32.6,33.13,33.13,2.61,2.61,51.62,51.62,1,1,53.38,53.38,146,156,67.63,67.63,98.83,98.83,72.02,72.17,26.35,26.35,834.64,847.78,65.87,66.63,-87.5,-87.5,44.66,46.42,35.16,33.05,0.86,0.86,93.77,93.77,592.18,592.18,-8,-8,67,67,75.98,75.87,510.06,518.09,1048.62,1060.38,0.42,0.41,246.46,247.04,9.78,9.78,12.56,12.56,861.26,930.2,1.38,1.34,28.65,28.65,47.57,47.62,61.73,48.06,45.72,45.72,108.45,108.45,28969.93,28527.1,25294.64,24907.99,32710,32210,973.75,989.07,2.44,2.44,370.95,376.79,204700000000,208100000000,16020.37,15290.52,12.68,12.68,12.58,13.46
Kalevasi,57,57,44,44,6,6,2.59,2.59,30.59,30.49,42,42,800.47,1096.25,50.25,50.25,112.5,112.5,-5.29,-7.62,2977.76,2965.86,-5.29,-7.62,-4.47,-4.47,672.4,669.71,768.45,765.38,-4.24,-6.93,2101.24,2092.84,-6.48,-6.48,-4.24,-4.24,80.05,79.73,5283.13,5262.01,480.28,478.36,80.05,79.73,6323.74,6298.46,2246.73,2237.75,0,0,9.8,9.95,1400.83,1395.23,1100.65,1096.25,1701.01,1694.21,500.3,498.3,12.84,12.84,38.6,38.6,12,12,20,20,18,18,25.29,25.29,50,50,1,1,50,50,132,142,59.77,59.77,64.68,64.68,72.08,72.21,18.64,18.64,1300.77,1295.57,60.76,61,40,40,26.66,27.41,74.74,73.74,26.22,26.22,91.33,91.33,1449.32,1449.32,-4,-4,64,64,63.97,63.43,500.3,498.3,681.12,758.35,0.37,0.37,95.13,95.49,10.12,10.12,18.75,18.75,783.16,854.78,1.9,1.79,36.36,36.36,51.92,51.96,-33.17,-50.99,-17.32,-17.32,102.62,102.62,35102.17,35260.84,21131.16,21226.67,54740,54987,1000.59,996.59,4.51,4.51,-3.16,-3.16,3040600000000,3145300000000,25729.89,25599.37,13.61,13.61,15.83,17.01
Krieger Republics,48,48,71.5,71.5,4,4,6.66,6.66,32.85,32.69,38.75,38.75,922.3,1211.54,57,57,96.75,96.75,-11.92,-13.11,-3.1,-3.1,-1.41,-5.66,1885.59,1857.7,1311.71,1534.62,20285.64,22486.23,2377.48,945,-7.35,-7.35,-11.75,-11.75,2787.39,2746.16,-3.46,-3.46,3197.3,3150.01,3197.3,3150.01,-7.87,-7.87,-8.72,-8.72,2623.43,2584.62,2377.48,945,10.25,10.39,-3.16,-3.16,922.3,908.66,2356.98,2322.12,922.3,908.66,7.95,7.95,15.01,15.01,8.23,8.23,24.9,24.9,9.74,9.74,31,31,46.97,46.97,1,1,50,50,118,128,56.98,56.98,49.89,49.89,69.37,69.54,23.02,23.02,2356.98,2322.12,42.26,43.21,64.25,64.25,17.21,17.3,87.28,86.95,27.84,27.84,91.24,91.24,966.43,966.43,-8,-8,64,64,71.01,70.86,819.82,807.69,458.35,521.79,0.41,0.4,60.73,61.01,9.7,9.65,32.47,32.47,693.36,769.19,2.55,2.28,31.98,31.98,56.84,56.9,-54.77,-67.08,53.85,53.85,104.46,104.46,55312.48,56142.87,19744.63,20041.05,131570,133545,819.82,807.69,10.17,10.17,-6.32,-6.32,19600000000,21000000000,45798.73,46430.16,16.04,16.04,30.51,33.83
Cosmo Kramerica,49.09,49.09,100.02,100.02,53.87,53.87,1.37,1.37,22.32,22.3,15.98,15.98,1712.15,1961.59,56.18,56.18,61,61,12140.69,11298.75,2241.36,2259.75,-2.65,-5.29,435.82,439.4,-4.84,-4.84,-10.77,-10.77,21230.64,20463.29,-15.49,-15.49,-4.74,-4.74,-13.42,-13.42,21479.68,21655.94,5665.66,5712.15,-5.48,-5.48,-16.7,-16.7,4171.42,4205.65,-10.08,-10.08,33371.33,31762.05,20.74,20.81,-16.12,-16.12,6303.82,6355.55,7237.72,7297.11,5447.75,5492.45,239.44,239.44,73.22,73.22,0.49,0.49,39.74,39.74,57.38,57.38,1.21,1.21,49.36,49.36,7.03,7.03,31.88,31.88,179,189,77.31,77.31,121.45,121.45,90.38,90.39,10.16,10.16,8015.97,8081.75,5.65,5.67,30.5,30.5,57.01,58.26,-4.64,-6.84,6.58,6.58,92.79,92.79,862.21,862.21,-8,-8,74,74,53.1,52.73,-17.61,-17.61,1164.12,1171.38,1.18,1.16,10.32,10.43,9.27,9.27,16.68,16.68,1496.02,1554.29,1,0.98,44.84,44.84,88.04,88.04,-115.39,-120.9,113.54,113.54,60.89,60.89,100829.99,100009.64,85529.92,84834.05,116806,115855,4747.32,4786.28,2.04,2.04,-16.73,-16.73,4245700000000,4226000000000,43356.9,41704.02,21.02,21.02,45.85,48.28
State Peace and Development Council,67.43,67.43,68.78,68.78,53.33,53.33,1.39,1.39,21.1,21.1,46.76,46.76,8151.69,8453.78,39.86,39.86,137.25,137.25,-13.93,-14.97,-6.57,-6.57,-6.15,-7.67,-9.3,-9.3,-12.28,-11.96,-11.38,-11.38,-14.83,-15.81,-20.01,-20.01,-3,-3,-14.63,-14.63,-17.44,-17.44,-9.95,-9.95,-7.35,-7.35,-21.07,-21.07,-4.08,-4.08,-15.18,-15.18,0,0,21.12,21.19,4075.84,4062.2,12998.64,12955.14,2533.63,2525.15,2203.16,2195.79,1052.22,1052.22,71.88,71.88,18.02,18.02,25.4,25.4,50.81,50.81,1.36,1.36,52.64,52.64,8.06,8.06,52.44,52.44,321,331,76.2,76.2,106.19,106.19,91,91.01,10.94,10.94,2643.79,2634.94,111.5,111.8,32.17,32.17,67.84,67.77,-29.7,-29.97,1.81,1.81,93.45,93.45,700.45,700.45,-8,-8,77,77,49.01,48.87,550.79,548.95,1269.36,1275.26,0.21,0.21,189.99,190.5,8.99,8.99,13.26,13.26,2023.68,2077.85,0.79,0.78,44.06,44.06,68.48,68.49,-69.07,-76.29,53.67,53.67,108.14,108.14,49130.44,49295.4,41267.94,41406.5,57412,57605,9032.95,9002.72,2.07,2.07,771.11,768.53,340200000000,341400000000,15820,15873.12,12.79,12.79,86.53,89.53
Ugg Lands,68.87,68.87,67.43,67.43,63.78,63.78,1.3,1.3,20.47,20.47,44.28,44.28,13106.06,13321.89,37.7,37.7,141.75,141.75,-25.65,-26.23,-13.51,-13.51,-15.81,-16.73,-12.68,-12.68,-17.96,-17.74,-13.54,-13.54,-17.44,-18.28,-24.62,-24.62,-20.15,-20.15,-21.17,-21.17,-24.25,-24.25,-17.61,-17.61,-17.26,-17.26,-25.75,-25.75,-9.07,-9.07,-25.24,-25.24,0,0,28.9,28.95,5993.62,5982.89,12386.82,12364.63,6952.6,6940.15,2317.53,2313.38,74.94,74.94,76.8,76.8,15.9,15.9,26.54,26.54,82.62,82.62,0.9,0.9,53.51,53.51,9.3,9.3,51.96,51.96,472,482,88.09,88.09,119.21,119.21,91.38,91.38,14.38,14.38,7112.43,7099.69,101.26,101.46,26.14,26.14,78.19,78.17,-134.03,-134.21,5.34,5.34,92.92,92.92,666.3,666.3,-2,-2,108,108,43.33,43.23,879.06,877.49,1477.94,1482.57,0.18,0.18,164.23,164.7,8.24,8.24,17.42,17.42,3311.04,3359.74,0.57,0.56,40.62,40.62,71.96,71.96,-151.47,-156.83,96.16,96.16,106.84,106.84,66729.01,66848.77,58049.97,58154.16,75591,75726,10788.52,10769.19,1.82,1.82,1598.3,1595.44,777100000000,778600000000,14546.92,14573.03,17.45,17.45,136.84,137.36
Turmissia,72.83,72.83,21.83,21.83,72,72,1.39,1.39,31.82,31.7,39.43,39.43,2212.32,2458.61,31.75,31.75,155.25,155.25,-6.93,-8.83,2532.25,2523.04,-6.48,-8.49,-8.83,-8.83,-5.9,-5.9,-7.16,-7.16,88.49,-4.47,-7.14,-7.14,544.57,542.59,-10.39,-10.39,-13.71,-13.71,-10.15,-10.15,68.07,67.82,-11.31,-11.31,2756.89,2746.86,-10.94,-10.94,88.49,0,13,13.11,170.18,169.56,1191.25,1186.92,1361.43,1356.48,595.62,593.46,1078.45,1078.45,72.15,72.15,13,13,41.68,41.68,31.04,31.04,3.25,3.25,47.8,47.8,1,1,52.44,52.44,168,178,64.26,64.26,102.34,102.34,70.51,70.65,21.66,21.66,2042.14,2034.71,46.07,45.81,-78.17,-78.17,66.55,67.34,35.68,34.63,0.86,0.86,93.77,93.77,554.07,554.07,-8,-8,67,67,76.61,76.51,935.98,932.58,1062.03,1072.76,0.43,0.42,226.2,226.75,9.88,9.88,13.14,13.14,1042.91,1107.44,1.33,1.29,33.34,33.34,47.13,47.17,35.36,-15.81,-57.88,-57.88,105.5,105.5,21252.56,21341.43,17886.69,17961.49,24792,24895,935.98,932.58,2.73,2.73,255.27,254.34,682700000000,698600000000,7119.61,6978.65,15.14,15.14,17.39,18.67
Etruriia,53,53,21.75,21.75,60,60,1.59,1.59,32.03,31.91,43,43,925.59,1120.6,53.25,53.25,105.75,105.75,-9.7,-11.14,721.96,736.06,601.63,-2,-7.48,-7.48,-6.32,-5.83,3924.5,4001.14,3332.12,2689.44,-11.42,-11.42,-2.45,-2.45,138.84,141.55,2221.41,2264.79,1689.2,1722.19,1990.02,2028.88,-10.68,-10.68,1203.27,1226.76,1132.34,1154.46,3933.75,2689.44,11.4,11.53,347.1,353.87,867.74,884.69,983.44,1002.64,462.79,471.83,32.69,32.69,62.89,62.89,13.62,13.62,34.67,34.67,24.56,24.56,17.88,17.88,51,51,1,1,50.5,50.5,135,145,63.15,63.15,97.26,97.26,70.26,70.4,11.73,11.73,1099.14,1120.6,56.58,57.28,21.75,21.75,27.75,29.47,65.82,63.7,2.77,2.77,93.27,93.27,874.03,874.03,-8,-8,64,64,53.58,53.2,578.49,589.79,1034.4,1047.7,0.33,0.33,181.67,182.17,9.46,9.46,17.79,17.79,814.8,885.26,1.44,1.39,43.27,43.27,47.31,47.35,58.31,43.59,-45.83,-45.83,106.84,106.84,30649.36,30103.72,23978.17,23551.29,38130,37451,578.49,589.79,2.88,2.88,115.7,117.96,408900000000,428200000000,22128.84,21223.12,13.84,13.84,12.35,13.21
Atylistan,43.67,43.67,80.67,80.67,11,11,17.35,17.35,35.64,35.31,38.06,38.06,-3.16,193.77,60.25,60.25,90,90,1678.58,465.05,-3.1,-2.53,3117.36,1860.21,6874.18,6665.77,2158.17,2325.27,6864.99,9365.79,5755.13,4418.01,1406.01,2034.61,1438.78,1395.16,879.26,852.6,2877.57,2790.32,2797.63,2712.81,79.93,77.51,4875.87,4728.04,-2.37,-2.37,5243.56,5084.59,10551.07,6743.28,8.83,8.94,-7.07,-7.07,499.58,484.43,1398.82,1356.41,299.75,290.66,914.7,914.7,5.76,5.76,10.55,10.55,35.23,35.23,10.01,10.01,30.87,30.87,46.97,46.97,1,1,51.96,51.96,101,111,54.44,54.44,33.29,33.29,66.97,67.21,27,27,1698.56,1647.06,40.6,41.17,80,80,8.66,8.42,106.6,107.86,22.41,22.41,91.57,91.57,777.06,777.06,-8,-8,67,67,73.99,73.92,399.66,387.54,362.98,479.78,0.49,0.47,54.43,54.7,12.71,11.33,13.89,13.89,468.5,589.92,3.28,2.45,28,28,58.01,58.1,-70,-80,93.81,93.81,103,103,63620.97,65610.14,12977.41,13383.16,225198,232239,399.66,387.54,13.22,13.22,-6.32,-6.32,300000000,300000000,58085.94,60098.89,15.63,15.63,32.46,36.67
Nikolia,63.11,63.11,97.87,97.87,76.1,76.1,1.49,1.49,19.7,19.69,38.75,38.75,12658.28,12924.64,45.67,45.67,157.75,157.75,-21.4,-22.09,-12.26,-12.26,-13.18,-14,-12.92,-12.92,-17.37,-17.14,-13.83,-13.83,-17.83,-18.65,-25.51,-25.51,-14.7,-14.7,-24.04,-24.04,-23.83,-23.83,-16.97,-16.97,-16.06,-16.06,-24.06,-24.06,4049.88,4042.52,-9.75,-9.75,0,0,27.77,27.82,4541.52,4533.27,14687.47,14660.78,6087.57,6076.51,7053.85,7041.03,1698.53,1698.53,67.18,67.18,15.09,15.09,39.13,39.13,67.97,67.97,1.05,1.05,56.34,56.34,12.67,12.67,54.76,54.76,450,460,75.22,75.22,117.87,117.87,91.91,91.91,13.94,13.94,7247.11,7233.94,98.8,99.62,38.12,38.12,90.56,90.59,-141.7,-142.7,4.7,4.7,93,93,489.99,489.99,8,8,105,105,46.41,46.26,2319.07,2314.86,1368.33,1373.5,0.19,0.19,47.72,47.97,7.62,7.62,10.52,10.52,2808.4,2858.79,0.66,0.66,41.06,41.06,89.76,89.76,-126.09,-132.33,68.58,68.58,104.81,104.81,79551.99,79696.8,64462.83,64580.18,95957,96132,10822.35,10802.68,2.1,2.1,1739.31,1736.15,973100000000,975200000000,7477.89,7491.5,13.76,13.76,134.73,135.26
Czechmate,71,71,63.78,63.78,67.33,67.33,1.95,1.95,29.01,28.94,44.28,44.28,1589.72,1924.22,34.5,34.5,148.5,148.5,-11.14,-12.41,6009.13,6125.1,5007.61,3888.95,6597.33,6724.65,7074.25,7453.83,-9.47,-9.47,5961.44,4861.19,-1.73,-1.73,476.92,486.12,635.89,648.16,-3.74,-3.74,-2.28,-2.28,2623.03,2673.65,-10.68,-10.68,-7.35,-7.35,3934.37,4010.3,10969.05,8750.14,9.17,9.33,894.22,911.47,1092.93,1114.02,0,0,794.86,810.2,8.94,8.94,51.39,51.39,15.51,15.51,47.1,47.1,29.72,29.72,5.19,5.19,51.62,51.62,2.52,2.52,51.48,51.48,171,181,59.52,59.52,72.52,72.52,74.52,74.62,12.08,12.08,2185.86,2228.05,31.96,32.46,40.83,40.83,15.49,16.98,85.84,83.76,1.26,1.26,93.59,93.59,484.67,484.67,-8,-8,64,64,64.88,64.33,99.36,101.27,1006.56,1026.49,0.73,0.69,213.46,214,12.34,12.39,26.89,26.89,998.32,1063.77,1.53,1.47,42.92,42.92,56.14,56.18,-52.44,-65.19,95.13,95.13,104.81,104.81,51673.6,50787.11,36291.49,35668.89,70622,69411,1490.36,1519.12,5,5,-13.78,-13.78,4720900000000,5017800000000,43664.19,42153.3,13.23,13.23,17.89,19.1
Caffeinneburg,59.11,59.11,78.1,78.1,29.9,29.9,1.3,1.3,20.37,20.37,40.78,40.78,10591.78,10896.38,48.67,48.67,193,193,-31.14,-31.62,-22.27,-22.27,-20.74,-21.45,-22.32,-22.32,-21.57,-21.39,-17.78,-17.78,-27.5,-28.04,-28.98,-28.98,-27,-27,-28.98,-28.98,-23.02,-23.02,-20.52,-20.52,-23.45,-23.45,-34.55,-34.55,-23.77,-23.77,-35.19,-35.19,0,0,22.09,22.16,1239.46,1235.67,11267.86,11233.38,5859.28,5841.36,-9.49,-9.49,3.19,3.19,76.8,76.8,0.82,0.82,20.39,20.39,72.62,72.62,1,1,61.07,61.07,11.08,11.08,32.53,32.53,589,599,87.63,87.63,108.83,108.83,91.44,91.45,16.19,16.19,20507.5,20444.75,5.5,5.5,26.14,26.14,27.91,27.97,47.73,47.55,6.57,6.57,92.79,92.79,1034.72,1034.72,4,4,109,109,53.05,52.83,-18.44,-18.44,1544.35,1548.72,7.89,7.89,103.86,104.23,5.65,5.65,90.7,90.7,3890.8,3937.92,0.52,0.52,38.81,38.81,74.64,74.64,-30.67,-32.79,-178.7,-178.7,78.21,78.21,54987.13,55155.89,47835.29,47982.1,62289,62481,5521.25,5504.36,1.83,1.83,-16.12,-16.12,954700000000,958000000000,39645.72,39712.24,16.78,16.78,142.14,142.63
Team JNPR,57.33,57.33,57.33,57.33,44,44,3.61,3.61,32.6,32.6,42,42,277.59,277.59,50,50,112.5,112.5,1480.46,1480.46,4939.18,4939.18,2960.92,2960.92,1110.34,1110.34,1110.34,1110.34,3343.98,3343.98,-3.16,-3.16,2846.18,2846.18,4441.37,4441.37,-3.16,-3.16,-5.48,-5.48,2960.92,2960.92,1850.57,1850.57,1480.46,1480.46,-3.16,-3.16,3553.1,3553.1,4441.37,4441.37,9.33,9.33,832.76,832.76,832.76,832.76,1110.34,1110.34,277.59,277.59,119.98,119.98,27.72,27.72,12,12,44.68,44.68,20,20,23.37,23.37,50,50,1,1,50,50,100,100,57.03,57.03,55.45,55.45,69.63,69.63,3.89,3.89,1110.34,1110.34,78.45,78.45,50,50,14.54,14.54,89.55,89.55,6.35,6.35,92.81,92.81,694.44,694.44,0,0,64,64,68.4,68.4,740.23,740.23,617.68,617.68,0.32,0.32,125.82,125.82,10.47,10.47,17.16,17.16,520.28,520.28,2.03,2.03,51.11,51.11,52.75,52.75,45.83,45.83,43.59,43.59,100.2,100.2,48551.62,48551.62,24396.58,24396.58,88024,88024,740.23,740.23,10.11,10.11,92.53,92.53,745500000000,747300000000,41511.63,41511.63,7.09,7.09,16.08,16.08
GU 12th Marine Battalion,57.33,57.33,57.33,57.33,57.33,57.33,3.61,3.61,32.82,32.82,42,42,317.79,317.79,50,50,112.5,112.5,-6.32,-6.32,1671.59,1671.59,2118.61,2118.61,-7.75,-7.75,847.45,847.45,-8.46,-8.46,0,0,2072,2072,5084.67,5084.67,2966.06,2966.06,4660.95,4660.95,3813.5,3813.5,-3.16,-3.16,-7.07,-7.07,4237.23,4237.23,-4.9,-4.9,2118.61,2118.61,9.33,9.33,953.38,953.38,953.38,953.38,1271.17,1271.17,317.79,317.79,119.98,119.98,27.72,27.72,12,12,49.93,49.93,24.32,24.32,18.23,18.23,50,50,1,1,50,50,100,100,56.72,56.72,57.19,57.19,69.41,69.41,0.56,0.56,1271.17,1271.17,74.31,74.31,50,50,20.03,20.03,83.35,83.35,3.24,3.24,93.2,93.2,610.35,610.35,0,0,64,64,68.02,68.02,847.45,847.45,541.84,541.84,0.32,0.32,126.07,126.07,12.63,12.63,17.16,17.16,495.41,495.41,2.22,2.22,54.44,54.44,52.68,52.68,71.41,71.41,-50.99,-50.99,100.2,100.2,42433.69,42433.69,21322.4,21322.4,76933,76933,847.45,847.45,10.54,10.54,105.93,105.93,79900000000,81400000000,33946.95,33946.95,7.09,7.09,12.29,12.29
Mount Seraph,79,79,20.5,20.5,66.67,66.67,1.62,1.62,31.72,31.59,45.83,45.83,608.27,827.06,22.5,22.5,175.5,175.5,-11.58,-12.81,194.65,198.49,562.31,-3.13,-8.12,-8.12,984.05,1003.5,1124.63,1146.86,681.26,115.79,-4.24,-4.24,-8.12,-8.12,-8.6,-8.6,2054.61,2095.22,-7.56,-7.56,-8.6,-8.6,-6.63,-6.63,1649.09,1681.69,2345.84,2392.21,1243.58,115.79,10.68,10.82,1351.71,1378.43,811.03,827.06,0,0,-3.16,-3.16,2058.6,2058.6,61.58,61.58,18.02,18.02,37.39,37.39,32.28,32.28,2.82,2.82,51.62,51.62,1,1,53.38,53.38,138,148,63.47,63.47,85.35,85.35,70.62,70.79,21.83,21.83,608.27,620.29,55.38,55.2,22.5,22.5,32.66,34.64,64.06,62.22,1.65,1.65,93.49,93.49,539.31,539.31,-4,-4,67,67,52.39,52.08,202.76,206.76,1046.3,1058.27,0.63,0.61,272.25,272.85,9.59,9.59,9.2,9.2,801.82,872.74,1.39,1.34,33.17,33.17,47.45,47.5,59.08,44.27,-49.5,-49.5,103,103,24838.36,24383.71,19215.75,18864.01,31205,30634,878.61,895.98,2.83,2.83,0,0,171100000000,180600000000,16716.22,15946.95,11.68,11.68,12.59,13.53
WAtheregionofducks,75.6,75.6,73.56,73.56,78.67,78.67,3.27,3.27,33.11,33,37.37,37.37,2310.53,2811.12,27.6,27.6,164.25,164.25,-10.68,-12,4574.85,4687.17,924.21,-3.74,4967.64,5089.61,9819.75,10415.94,-5.8,-5.8,5198.69,3539.05,-10.75,-10.75,-4.9,-4.9,-8,-8,-2,-2,-2,-2,346.58,355.09,-10.68,-10.68,-2,-2,-3.41,-3.41,6122.9,3539.05,5.74,6,-8.94,-8.94,577.63,591.81,0,0,722.04,739.77,7.84,7.84,30.62,30.62,6.84,6.84,76.17,76.17,30.88,30.88,3.33,3.33,50,50,1,1,50,50,166,176,50.37,50.37,33.89,33.89,69.11,69.22,20.77,20.77,433.22,443.86,33.13,33.66,61.33,61.33,9.47,10.14,98.26,96.45,0.72,0.72,94.1,94.1,216.16,216.16,0,0,64,64,70.45,70.22,144.41,147.95,677.96,755.02,1.27,1.24,144.98,145.42,13.5,13.55,33.18,33.18,1003.14,1068.49,1.91,1.79,34.23,34.23,55.88,55.92,-59.58,-71.06,65.95,65.95,92.89,92.89,40578.65,39639.75,21534.28,21036.02,70329,68702,144.41,147.95,16.1,16.1,-10.49,-10.49,261300000000,279600000000,36723.68,35636.14,3.84,3.84,19.68,20.98
2nd Martian Fleet,35,35,60,60,10,10,3.88,3.88,32.98,32.82,37.37,37.37,667.99,948.26,66.75,66.75,76.5,76.5,1145.12,0,-8.06,-7.48,-7.75,-9.49,-3.74,-3.74,3893.41,4096.47,4007.92,5461.95,4733.17,3565.44,954.27,948.26,2519.27,2503.4,-4.47,-4.47,4198.78,4172.33,1526.83,1517.21,3435.36,3413.72,3435.36,3413.72,-8.72,-8.72,-6.15,-6.15,5878.29,3565.44,11.4,11.53,-7.07,-7.07,858.84,853.43,2194.82,2180.99,667.99,663.78,8.01,8.01,25.75,25.75,6.84,6.84,27.86,27.86,2.02,2.02,33.68,33.68,50,50,1,1,50,50,102,112,58.69,58.69,61.75,61.75,69.25,69.41,20.17,20.17,3149.08,3129.24,30.05,30.52,52,52,25.6,26.05,73.31,72.49,23.15,23.15,91.52,91.52,1470.74,1470.74,-8,-8,64,64,68.85,68.63,1145.12,1137.91,476.99,559.07,0.33,0.32,45.83,46.07,11.01,10.5,32.07,32.07,527.81,621.34,2.46,2.17,34.83,34.83,53.07,53.12,-51.96,-64.81,-17.32,-17.32,105.84,105.84,49507.4,49821.37,23891.63,24043.15,92774,93363,1145.12,1137.91,7.32,7.32,-12.65,-12.65,8600000000,9700000000,36833.51,36867.81,15.71,15.71,14.61,16.34
Oseeeo,57.33,57.33,57.33,57.33,57.33,57.33,3.61,3.61,32.75,32.59,42,42,269.11,530.38,50,50,112.5,112.5,1076.45,0,317.55,424.31,1076.45,0,3588.16,3535.88,2870.53,3040.86,952.66,1697.22,358.82,-4.47,4223.26,5303.82,2511.71,2475.12,4664.61,4596.65,1076.45,1060.76,4664.61,4596.65,3588.16,3535.88,-3.16,-3.16,2152.9,2121.53,5539.28,5458.57,2511.71,0,9.33,9.49,807.34,795.57,807.34,795.57,1076.45,1060.76,269.11,265.19,119.98,119.98,27.72,27.72,12,12,49.93,49.93,24.42,24.42,18.08,18.08,50,50,1,1,50,50,100,110,56.72,56.72,57.19,57.19,69.48,69.65,0.56,0.56,1076.45,1060.76,71.66,72.1,50,50,13.31,13.46,91.23,90.91,3.24,3.24,93.2,93.2,610.35,610.35,0,0,64,64,68.5,68.3,717.63,707.18,515.49,613.88,0.32,0.32,126.07,126.48,12.16,11.66,17.16,17.16,489.83,598.53,2.31,2.03,54.44,54.44,52.7,52.76,-62.45,-73.48,73.48,73.48,100.2,100.2,50082.7,50823.93,25165.94,25538.39,90800,92144,717.63,707.18,10.54,10.54,89.7,88.4,2400000000,2400000000,43421.7,43962.7,7.09,7.09,13.18,14.86
DDG-35,25.5,25.5,7,7,5,5,1.15,1.15,33.69,33.53,39.43,39.43,683.4,781.44,74.5,74.5,58.5,58.5,-2.83,-6.16,-6.2,-6.2,-2.37,-5.66,300.69,298.98,519.38,597.97,1793.23,1783.03,-5.48,-7.75,-7.14,-7.14,-5.2,-5.2,300.69,298.98,-5.29,-5.29,114.81,114.16,437.37,434.89,27.34,27.18,35.54,35.33,393.64,391.4,0,0,18.41,18.49,751.74,747.46,888.42,883.36,1298.45,1291.07,615.06,611.56,1267.63,1267.63,87.19,87.19,14.16,14.16,12.3,12.3,6.94,6.94,32.06,32.06,48.6,48.6,1,1,53.38,53.38,104,114,70.33,70.33,97.02,97.02,68.56,68.71,38.15,38.15,1298.45,1291.07,95.43,96.03,-93,-93,73.48,73.53,-21.22,-22.1,27.02,27.02,91.28,91.28,6530.83,6530.83,-8,-8,67,67,75.67,75.58,854.25,849.39,888.59,975.44,0.22,0.22,151.07,151.52,9.62,9.62,12.3,12.3,590.68,674.49,1.64,1.56,16.85,16.85,44.19,44.24,-51.28,-62.85,48.48,48.48,110,110,16080.33,16172.32,14960.31,15045.89,17157,17256,854.25,849.39,2.29,2.29,580.89,577.58,100000000,100000000,4261.29,4285.67,16.96,16.96,8.63,9.11
Lamoris,72.44,72.44,63.33,63.33,53.33,53.33,1.34,1.34,22.38,22.38,42,42,4784.84,5147.83,32.33,32.33,153,153,-8.12,-9.8,-4.56,-4.56,-6.32,-8.37,-3.1,-3.1,-6.61,-6.61,-10.32,-10.32,-4,-6.78,-14.9,-14.9,-9.17,-9.17,-8.72,-8.72,-11.66,-11.66,-7.48,-7.48,-6.78,-6.78,-17.78,-17.78,7500.57,7464.36,295.47,294.04,0,0,15.68,15.78,3491.64,3474.79,10216.29,10166.97,1422.52,1415.65,2069.12,2059.13,158.85,158.85,74.85,74.85,12,12,27.74,27.74,36.49,36.49,2.11,2.11,52.16,52.16,6.28,6.28,50,50,215,225,64.98,64.98,98.27,98.27,90.35,90.36,14.59,14.59,905.24,900.87,82.34,82.62,28.5,28.5,71.95,72.1,9.1,8.1,2.15,2.15,93.38,93.38,667.23,667.23,0,0,62,62,51.01,50.79,387.96,386.09,1093.06,1102.22,0.3,0.3,122.03,122.43,9.31,9.31,16.98,16.98,1284.36,1345.05,1.21,1.18,40.41,40.41,63.24,63.24,-61.81,-72.94,42.66,42.66,101.45,101.45,39608.79,39803.67,33992.62,34159.87,45413,45636,3620.96,3603.48,2.65,2.65,905.24,900.87,7364600000000,7430900000000,11130.07,11105.22,2.47,2.47,16.38,17.6
