Nation,s0,f0,s1,f1,s2,f2,s4,f4,s5,f5,s6,f6,s7,f7,s8,f8,s9,f9,s10,f10,s11,f11,s12,f12,s13,f13,s14,f14,s15,f15,s16,f16,s17,f17,s18,f18,s19,f19,s20,f20,s21,f21,s22,f22,s23,f23,s24,f24,s25,f25,s26,f26,s27,f27,s28,f28,s29,f29,s30,f30,s31,f31,s32,f32,s33,f33,s34,f34,s35,f35,s36,f36,s37,f37,s38,f38,s39,f39,s40,f40,s41,f41,s42,f42,s43,f43,s44,f44,s45,f45,s46,f46,s47,f47,s48,f48,s49,f49,s50,f50,s51,f51,s52,f52,s53,f53,s54,f54,s55,f55,s56,f56,s57,f57,s58,f58,s59,f59,s60,f60,s61,f61,s62,f62,s63,f63,s64,f64,s67,f67,s68,f68,s69,f69,s70,f70,s71,f71,s72,f72,s73,f73,s74,f74,s75,f75,s77,f77,s78,f78,s79,f79,s85,f85,s87,f87,s88,f88
Moglandia,61,61,57.67,53.11,74,74,2.56,2.43,30.98,31.12,45.83,45.83,0,0,47.25,47.25,119.25,119.25,-4,-4,4525,4332.76,3817.69,3655.5,2151.79,2060.37,2360.03,2259.76,-6.85,-6.85,4234.17,4054.28,6828.81,6538.68,69.41,66.46,4303.58,4120.74,1180.01,1129.88,826.01,790.92,3956.52,3788.42,3262.39,2126.83,3435.92,3289.95,33.32,31.9,8051.86,7709.77,8.19,8.19,954.42,913.87,694.13,664.64,433.83,415.4,-5.48,-5.48,905.7,905.7,39.05,41.1,17.01,17.01,61.25,59.21,30.22,30.22,4.08,4.08,50,50,1,1,51.96,51.96,109,109,61.75,61.91,85.67,87.13,71.55,71.37,10.17,9.03,780.89,747.72,67.79,68.05,56.25,52.83,9.08,9.26,100.08,98.91,0.77,0.77,93.9,93.9,397.16,419.91,-8,-8,67,67,69.9,69.21,173.53,166.16,871.37,889.57,0.38,0.38,79.65,79.65,11.99,11.69,13.93,13.93,576.24,576.24,1.66,1.64,44.83,45.97,53.92,52.97,43.01,43.01,60.42,60.42,104.46,104.46,53364.37,50100.23,32323.94,31198.4,82784,75916,607.36,581.56,3.17,3.13,0,0,2400000000,4300000000,48508.21,45440.91,13.17,13.17,24.98,23.34
Ronsanias special account,90,90,66,60.33,82,82,5.37,4.29,34.73,34.39,43.68,43.68,-5.48,-5.48,10,10,202.5,202.5,4212.48,4099.12,464.83,452.32,2033.61,1978.89,813.44,791.55,5374.54,5229.92,377.67,367.51,-6.16,-6.16,3186.23,3100.49,944.18,918.77,5301.92,5159.24,2396.76,2332.26,1924.67,1872.88,4575.63,4452.5,2759.9,1625.51,4067.22,3957.77,7908.68,7467.93,6246.09,6078.01,6.63,6.63,998.65,971.77,544.72,530.06,363.14,353.37,-3.16,-3.16,19.47,19.47,18.61,23.28,14.16,14.16,71.45,67.54,38.39,38.39,1.93,1.93,47.8,47.8,1,1,50.5,50.5,99,99,52.36,53.32,40,44.36,67.66,67.94,27.87,25.96,907.86,883.43,41.15,42.4,60,54.25,6.66,6.94,114.01,111.82,0.7,0.7,94.17,94.17,125.43,147.54,0,0,64,64,71.05,70.24,181.57,176.69,264.82,289.02,1.8,1.68,355.2,355.2,13.08,12.58,18.01,18.01,415.89,415.89,16.95,5.07,27.13,29.04,54.18,53.16,33.62,33.62,40.87,40.87,97.83,97.83,57270.97,54441.76,23079.35,24850.9,123994,106730,635.5,618.4,15.02,14.26,-6.32,-6.32,1900000000,2500000000,53433.81,50685.28,6.88,6.88,13.98,12.73
Cosmo Kramerica,48.36,48.36,100.01,100.01,56.53,56.53,1.38,1.38,22.46,22.46,15.98,15.98,605.51,605.51,56.73,56.73,61,61,14956.1,14956.2,2325.16,2325.17,-2.05,-2.05,593.4,593.4,-4.5,-4.5,-10.7,-10.7,20768.99,20769.13,-12.73,-12.73,-3.67,-3.67,-8.72,-8.72,24038.75,24038.91,5667.57,5667.61,-5.1,-5.1,-13.23,-14.32,4214.35,4214.38,-9.73,-9.73,35725.09,35725.33,20.27,20.27,-16.12,-16.12,5979.41,5979.45,7039.05,7039.1,5071.15,5071.18,239.44,239.44,72.42,72.55,0.49,0.49,39.98,39.89,57.69,57.69,1.21,1.21,49.36,49.36,7.03,7.03,31.88,31.88,133,133,77.14,77.15,121.82,121.82,90.32,90.32,9.34,9.4,7795.94,7795.99,5.64,5.64,31.5,31.33,51.16,51.17,6.52,6.49,5.49,5.49,92.91,92.91,838.63,840.22,-8,-8,74,74,55.59,55.58,-17.61,-17.61,1126.31,1126.3,1.2,1.2,9.86,9.86,9.29,9.28,16.68,16.68,1207.11,1207.11,1.1,1.1,45.66,45.6,88.02,88.02,-116.12,-116.12,115.03,115.03,60.89,60.89,103672.4,103673.1,87425.23,87511.79,120726,120621,4617.01,4617.05,2.04,2.04,-16.73,-16.73,4163100000000,4228000000000,50592.13,50592.47,21.02,21.02,37.95,37.95
State Peace and Development Council,66.86,66.86,65.44,65.33,60,60,1.41,1.4,21.22,21.25,46.76,46.76,6614.18,6563.89,40.71,40.71,135,135,-9.49,-9.49,-6.32,-6.32,-5.92,-5.92,-9.17,-9.17,-13.39,-13.39,-11.31,-11.31,-14.7,-14.7,-17.96,-17.96,0,0,-10.49,-10.49,-14.14,-14.14,-9.75,-9.75,-7.07,-7.07,-18.44,-19.24,-3.83,-3.83,-14.95,-14.95,0,0,20.64,20.64,4078.74,4047.73,12787.41,12690.18,2535.43,2516.16,1874.02,1859.77,1052.22,1052.22,71.08,71.21,18.02,18.02,25.33,25.27,51.38,51.38,1.35,1.35,52.64,52.64,8.06,8.06,52.44,52.44,275,275,76.1,76.1,107.27,107.27,90.94,90.92,9.98,10.04,2645.67,2625.56,111.39,111.39,33.17,33,68.44,68.34,-28.07,-27.8,1.06,1.06,93.67,93.67,656.33,657.74,-8,-8,77,77,49.9,49.76,551.18,546.99,1240.09,1240.08,0.22,0.22,187.3,187.3,8.98,8.97,13.26,13.26,1758.88,1758.88,0.84,0.84,45.02,44.96,67.35,67.12,-68.92,-68.92,54.77,54.77,108.14,108.14,46960.66,46603.61,39211.76,38952.27,55165,54698,9039.38,8970.65,2.07,2.07,771.65,765.79,309600000000,309300000000,14839.57,14773.34,12.81,12.81,76.47,75.66
Ugg Lands,68.47,68.47,64,63.81,65,65,1.31,1.31,20.61,20.61,44.28,44.28,11771.16,11771.16,38.3,38.3,139.5,139.5,-23.54,-23.54,-13.39,-13.39,-15.68,-15.68,-12.59,-12.59,-18.73,-18.73,-13.48,-13.48,-17.32,-17.32,-22.98,-22.98,-20.05,-20.05,-18.55,-18.55,-22,-22,-17.49,-17.49,-17.15,-17.15,-23.64,-24.27,-8.96,-8.96,-25.1,-25.1,0,0,28.55,28.55,5885.58,5885.58,12006.58,12006.58,6827.27,6827.27,2040.33,2040.33,74.94,74.94,76.09,76.2,15.9,15.9,25.75,25.7,82.74,82.74,0.9,0.9,53.51,53.51,9.3,9.3,51.96,51.96,426,426,87.96,87.96,119.57,119.57,91.29,91.29,14.44,14.49,6984.22,6984.22,100.94,100.95,27,26.86,78.27,78.21,-132.39,-132.11,4.49,4.49,93.02,93.02,650.04,651.24,-2,-2,108,108,43.8,43.81,863.22,863.22,1454.63,1454.62,0.18,0.18,161.73,161.73,8.22,8.22,17.42,17.42,3075.41,3075.41,0.58,0.58,40.56,40.51,70.6,70.6,-151.18,-151.18,96.82,96.82,106.84,106.84,63956.61,63956.64,55365.42,55410.9,72767,72714,10594.04,10594.04,1.82,1.82,1569.49,1569.49,731400000000,733700000000,13878.58,13942.55,17.47,17.47,134.87,134.87
Turmissia,75.78,75.78,26.67,24.33,75.33,75.33,1.46,1.43,32.79,32.79,39.43,39.43,1049.97,1016.35,27.33,27.33,164.25,164.25,1959.95,1897.19,2771.93,2683.17,-6.16,-6.16,-8.6,-8.6,-6.48,-6.48,-7.04,-7.04,272.99,264.25,1574.96,1524.53,629.98,609.81,-2,-2,-9.17,-9.17,-9.95,-9.95,209.99,203.27,-4.9,-7.35,2974.93,2879.67,-10.58,-10.65,2232.95,2161.44,12.21,12.21,175,169.39,1049.97,1016.35,1399.97,1355.14,349.99,338.78,1078.45,1078.45,68.31,70.15,13,13,45.81,44.03,32.77,32.77,2.7,2.7,47.8,47.8,1,1,52.44,52.44,122,122,63.84,63.94,103.13,103.52,69.44,69.44,23.19,23.97,2099.95,2032.71,42.67,42.8,-73.33,-75.67,53.36,53.49,45.74,45.35,0.75,0.75,93.97,93.97,449.09,465.52,-8,-8,67,67,77.57,77.4,962.48,931.66,892.01,890,0.49,0.49,254.12,254.12,9.91,9.89,13.14,13.14,707.57,707.57,1.64,1.64,31.81,31.03,47.88,47.44,35.36,35.36,-56.12,-56.12,105.5,105.5,24641.5,23852.44,20146.37,19778.14,29490,28193,962.48,931.66,2.78,2.77,262.49,254.09,56700000000,94500000000,11482.94,11091.39,15.04,15.04,14.95,14.4
Nikolia,62.44,62.44,97.7,97.69,77.05,77.05,1.5,1.5,19.75,19.75,38.75,38.75,11401.7,11401.72,46.17,46.17,157.5,157.5,-18.81,-18.81,-12.13,-12.13,-13.07,-13.07,-12.82,-12.82,-18.17,-18.17,-13.77,-13.77,-17.72,-17.72,-23.94,-23.94,-14.49,-14.49,-21.77,-21.77,-21.54,-21.54,-16.85,-16.85,-15.94,-15.94,-21.79,-22.47,4347.85,4347.86,-9.39,-9.39,0,0,27.4,27.4,4580.17,4580.18,14617.57,14617.59,6139.38,6139.39,6821.53,6821.54,1698.53,1698.53,66.6,66.69,15.09,15.09,37.91,37.85,68.18,68.18,1.05,1.05,56.34,56.34,12.67,12.67,54.76,54.76,404,404,75.06,75.06,118.21,118.22,91.87,91.87,13.99,14.04,7308.78,7308.79,98.29,98.3,38.88,38.75,90.23,90.23,-134.6,-134.62,3.98,3.98,93.09,93.09,477.83,478.73,8,8,105,105,47.21,47.21,2338.81,2338.81,1342.54,1342.53,0.19,0.19,46.38,46.38,7.6,7.6,10.52,10.52,2563.93,2563.93,0.69,0.69,41.01,40.96,89.75,89.75,-125.97,-125.97,69.8,69.8,104.81,104.81,78880.28,78880.4,63624.21,63673.36,95535,95470,10914.45,10914.47,2.1,2.1,1754.11,1754.11,934300000000,940500000000,7730.27,7730.28,13.78,13.78,132.71,132.71
Czechmate,70.83,70.83,66.11,63.78,70.67,70.67,2.21,2.11,29.86,29.81,44.28,44.28,182.09,178.23,34.75,34.75,148.5,148.5,-4.47,-4.47,5681.35,5560.8,4734.46,4634,6191.22,6059.84,5681.35,5560.8,-10.38,-10.38,5608.51,5489.5,4552.36,4455.77,509.86,499.05,4370.27,4277.54,3277.7,3208.15,0,0,2549.32,2495.23,-3.16,-6.32,-7.07,-7.07,3936.72,3781.89,10342.97,10123.5,8,8,819.43,802.04,819.43,802.04,0,0,455.24,445.58,8.94,8.94,45.25,47.39,15.51,15.51,52.68,50.85,30.62,30.62,3.46,3.46,51.62,51.62,2.52,2.52,51.48,51.48,125,125,58.88,59.06,70.21,72.03,73.14,73.21,10.68,11.68,2003.04,1960.54,30.86,31.19,50.17,46.83,8.8,8.86,100.92,100.33,0.82,0.82,93.8,93.8,387.92,409.84,-8,-8,64,64,69.11,68.39,91.05,89.12,608.09,607.32,0.87,0.82,214.87,214.87,13.13,12.84,26.89,26.89,653.79,653.79,2.05,2.05,44.32,43.32,56.57,55.71,-52.44,-52.44,96.18,96.18,104.81,104.81,58018.81,56716.4,38053.8,38140.13,84105,80474,1365.71,1336.73,6.91,6.49,-13.78,-13.78,1116300000000,1416700000000,52913.15,51668.64,13.23,13.23,17.31,16.08
Caffeinneburg,58.44,58.44,74.57,74.48,31.81,31.81,1.31,1.31,20.49,20.49,40.78,40.78,8930.73,8930.74,49.17,49.17,192.75,192.75,-29.43,-29.43,-22.2,-22.2,-20.64,-20.64,-22.26,-22.26,-22.23,-22.23,-17.73,-17.73,-27.42,-27.42,-27.6,-27.6,-26.93,-26.93,-27.13,-27.13,-20.64,-20.64,-20.42,-20.42,-23.37,-23.37,-33.02,-33.47,-23.71,-23.71,-35.1,-35.1,0,0,21.73,21.73,1227.98,1227.98,10940.15,10940.16,5804.98,5804.98,-10.95,-10.95,3.19,3.19,76.2,76.32,0.82,0.82,19.77,19.73,72.74,72.74,0.99,0.99,61.07,61.07,11.08,11.08,32.53,32.53,543,543,87.49,87.5,109.3,109.3,91.37,91.37,15.31,15.36,20317.41,20317.43,5.5,5.5,26.86,26.71,27.88,27.76,48.02,48.29,5.68,5.68,92.88,92.88,994.3,995.79,4,4,109,109,54.17,54.19,-18.44,-18.44,1522.76,1522.75,7.9,7.9,101.87,101.87,5.64,5.63,90.7,90.7,3663.19,3663.19,0.54,0.54,39.69,39.64,73.28,73.28,-30.55,-30.55,-177.73,-177.73,78.21,78.21,52691.32,52691.37,45650.83,45688.32,59906,59863,5470.07,5470.08,1.83,1.83,-16.12,-16.12,902200000000,907200000000,37990.44,38043.17,16.8,16.8,140.28,140.28
The Zohan,53.33,53.33,66.56,65.33,3,3,2,1.95,27.86,27.9,38.75,38.75,1515.61,1499.79,53,53,105.75,105.75,2891.32,2861.14,1231.14,1218.29,4290.35,4245.56,4943.23,4891.62,3730.74,3691.79,-7.95,-7.95,1333.74,1319.82,-10.17,-10.17,-8.94,-8.94,2424.98,2399.66,-4.24,-4.24,-7.62,-7.62,-6.16,-6.16,-12.96,-14.07,1333.74,1319.82,1154.86,1092.05,8515.42,8426.52,12.12,12.12,0,0,2564.88,2538.11,2681.47,2653.48,1981.96,1961.26,130.47,130.47,50.04,51.28,8.23,8.23,17.56,17.22,19.99,19.99,23.38,23.38,52.16,52.16,3.3,3.3,50,50,124,124,61.42,61.51,78.36,78.79,76.64,76.56,18.98,19.59,1981.96,1961.26,78.68,78.83,44.83,43,39.75,39.89,55.75,55.43,26.22,26.22,91.33,91.33,1488.79,1570.42,0,0,64,64,65.72,65.14,1165.86,1153.69,713.01,711.43,0.27,0.27,114,114,10.12,9.99,17.11,17.11,741,741,1.85,1.85,36.02,35.41,58.96,58.49,-48.99,-48.99,83.67,83.67,98.34,98.34,45695.24,45167.43,31638.08,31684.61,63227,61793,2564.88,2538.11,3.27,3.24,-5.48,-5.48,889800000000,1401300000000,27508.54,27145.63,6.04,6.04,12.03,11.59
African Lossolia,57.33,57.33,40,36.67,57.33,57.33,1.74,1.68,31.67,31.74,42,42,974.5,955.86,50,50,112.5,112.5,-3.46,-3.46,-3.1,-3.1,2078.92,2039.16,1645.81,1614.34,-8,-8,-10.14,-10.14,-5.66,-5.66,4222.81,4142.04,-7.87,-7.87,-5.66,-5.66,346.49,339.86,2078.92,2039.16,-5.66,-5.66,779.6,-3.46,-8.49,-8.49,2727.57,2611.68,2078.92,2039.16,9.8,9.8,974.5,955.86,974.5,955.86,1299.33,1274.48,649.66,637.24,119.98,119.98,57.56,59.37,12,12,43.05,41.67,22.11,22.11,21.06,21.06,50,50,1,1,50,50,120,120,59.52,59.65,76.54,77.68,70.68,70.6,4.86,5.69,1299.33,1274.48,85.18,85.61,37,34.5,33.77,34.71,67.96,67.15,3.24,3.24,93.2,93.2,720.73,743.01,0,0,64,64,60.98,57.58,866.22,849.65,796.77,795.09,0.29,0.29,127.3,127.3,9.89,9.87,17.16,17.16,696.04,696.04,1.74,1.74,50.14,49.31,50.21,49.74,10,10,47.96,47.96,100.2,100.2,30009.12,28606.73,22394.86,21704.11,38907,36558,866.22,849.65,5,4.74,108.28,106.21,274300000000,352300000000,19866.04,18680.19,7.09,7.09,11.85,11.42
Camarines Norte,68.67,68.67,58.33,53.56,75.33,75.33,2.26,2.15,28.96,29,44.83,44.83,858.46,841.65,38,38,139.5,139.5,772.61,757.48,4017.58,3938.91,4463.98,4376.57,-3.74,-3.74,4206.45,4124.08,-7.8,-7.8,240.37,235.66,2575.37,2524.94,600.92,589.15,343.38,336.66,-8.49,-8.49,-5.35,-5.35,1631.07,1599.13,2918.76,1599.13,-6.08,-6.08,343.38,336.66,5476.96,5369.72,12.12,12.12,2575.37,2524.94,1502.3,1472.88,858.46,841.65,0,0,928.17,928.17,44.24,46.53,16.29,16.29,59.67,57.4,31.94,31.94,2.92,2.92,52.16,52.16,1,1,51.96,51.96,119,119,64.61,64.77,95.12,96.03,74.6,74.52,12.1,12.8,1502.3,1472.88,74.71,75,50.75,47.17,38.53,39.68,57.54,56.35,0.75,0.75,93.97,93.97,360.31,383.07,-8,-8,67,67,64.64,63.37,751.15,736.44,1021.6,1021.84,0.37,0.37,102.8,102.8,12.1,11.78,13.83,13.83,693.7,693.7,1.49,1.49,42.9,42.2,55.98,55.29,68.19,68.19,23.45,23.45,107.17,107.17,43141.82,41034.56,27956.33,27322.35,63190,58721,2253.45,2209.33,2.69,2.67,429.23,420.82,35300000000,48000000000,26532.22,24743.84,12.22,12.22,20.5,19.43
Nuutste,70.83,70.83,68.56,66.33,68.67,68.67,2.36,2.25,28.45,28.41,46.76,46.76,234.32,231.25,34.75,34.75,148.5,148.5,3561.7,3515.01,-5.93,-5.93,-7.35,-7.35,1705.87,1683.51,3280.51,3237.51,-6.13,-6.13,3280.51,3237.51,1523.1,1503.13,2436.95,2405.01,6842.21,6752.53,1687.12,1665.01,2015.17,1988.76,-6.63,-6.63,-7.35,-9.17,3655.43,3607.52,2519.42,2393.9,6842.21,6752.53,8.25,8.25,1991.74,1965.63,1757.42,1734.38,234.32,231.25,585.81,578.13,8.34,8.34,42.32,44.4,16.66,16.66,51.36,49.69,32.82,32.82,2.68,2.68,51,51,2.52,2.52,50.5,50.5,119,119,61,61.17,80.52,82.07,75.51,75.59,10.89,9.78,1171.61,1156.25,49.81,50.03,53.83,50.5,15.44,15.66,88.03,87.44,0.98,0.98,93.7,93.7,383.6,405.41,-8,-8,64,64,68.49,67.9,117.16,115.63,701.43,717.6,0.5,0.5,211.67,211.67,12.46,12.16,30.1,30.1,651.94,651.94,1.87,1.84,44.11,45.22,58.61,57.96,-75.3,-75.3,54.5,54.5,104.81,104.81,46379.89,45679.46,29343.16,29657.56,69337,66797,1757.42,1734.38,3.41,3.35,-5.48,-5.48,103800000000,126500000000,39237.38,38507.78,12.52,12.52,16.24,15.36
WAtheregionofducks,78.17,78.17,81,80.67,82,82,4.78,4.45,41.64,38.03,37.37,37.37,280.15,280.18,23.75,23.75,173.25,173.25,-3.16,-3.16,4706.59,4707.02,1120.62,1120.72,5042.77,5043.24,8292.56,8293.33,-5.66,-5.66,5266.9,5267.38,-6.12,-6.12,-4.47,-4.47,2241.23,2241.44,5603.08,5603.6,0,0,560.31,560.36,-3.16,-6.32,0,0,-3.46,-3.46,6387.51,6388.1,3.61,3.61,-8.94,-8.94,280.15,280.18,0,0,280.15,280.18,7.84,7.84,20.94,22.49,6.84,6.84,90.75,88.36,32.47,32.47,2.77,2.77,50,50,1,1,50,50,120,120,46.4,46.98,24.93,26.25,65.01,65.48,30.46,29.29,420.23,420.27,28.81,29.14,81.5,78,6.28,6.34,111.48,110.9,0.7,0.7,94.17,94.17,98.47,110.24,0,0,64,64,74.02,73.56,140.08,140.09,275.8,286.84,1.69,1.65,156.32,156.32,15,14.7,33.18,33.18,659.72,659.72,8.62,5.19,24.54,25.71,56.74,56.9,-59.58,-59.58,67.45,67.45,92.89,92.89,45525.04,45529.25,19591.62,20386.23,93568,90652,140.08,140.09,17.72,17.5,-10.49,-10.49,23300000000,25500000000,42656.97,42660.91,3.6,3.6,22.16,20.65
Lamoris,71.89,71.89,56.89,56.67,60,60,1.35,1.35,22.78,22.78,42,42,2762.97,2764.73,33.17,33.17,150.75,150.75,1825.96,1827.13,-4.2,-4.2,-6,-6,-2.68,-2.68,-8.06,-8.06,-10.24,-10.24,-3.46,-3.46,-12,-12,-8.83,-8.83,1345.45,1346.31,-5.66,-5.66,-7.21,-7.21,-6.48,-6.48,-14.56,-15.56,7159.69,7164.27,306.76,306.96,1825.96,1827.13,15.03,15.03,3243.48,3245.56,9249.93,9255.85,1321.42,1322.26,1561.68,1562.68,158.85,158.85,73.9,74.04,12,12,28.17,28.1,37.24,37.24,2.03,2.03,52.16,52.16,6.28,6.28,50,50,169,169,64.84,64.85,101.04,101.04,90.17,90.18,13.58,13.64,840.9,841.44,82.74,82.75,29.67,29.5,69.15,69.15,17.37,17.34,1.26,1.26,93.59,93.59,622.62,623.99,0,0,62,62,52.54,52.54,360.39,360.62,1040.89,1040.86,0.3,0.3,120.41,120.41,9.31,9.3,16.98,16.98,979.62,979.62,1.41,1.41,41.42,41.36,62.07,62.07,-61.16,-61.16,44.05,44.05,101.45,101.45,37787.02,37811.17,32209.83,32261.77,43585,43576,3363.61,3365.76,2.67,2.67,840.9,841.44,5012900000000,5432900000000,11676.19,11645.84,2.52,2.52,12.99,12.99
Southern Jed Yoratons,77,77,34,33.78,54.67,54.67,1.31,1.3,24.09,24.09,42,42,2112.15,2113.48,25.5,25.5,168.75,168.75,587.73,588.1,-9.55,-9.55,-5.29,-5.29,-7.62,-7.62,102.85,102.92,-6.75,-6.75,-12,-12,-9.64,-9.64,293.86,294.05,220.4,220.54,-5.83,-5.83,-8.6,-8.6,-2,-2,-14.97,-15.94,2453.77,2455.31,-12.52,-12.52,587.73,588.1,15.13,15.13,1193.83,1194.58,6795.63,6799.89,1744.82,1745.92,1010.16,1010.79,119.98,119.98,76.5,76.64,12,12,25.86,25.79,35.39,35.39,2.24,2.24,50,50,6.47,6.47,50,50,168,168,64.67,64.67,103.91,103.91,86.7,86.71,17.05,17.11,1744.82,1745.92,77.28,77.29,26.5,26.33,68.66,68.67,16.5,16.48,1.81,1.81,93.45,93.45,618.52,619.88,0,0,62,62,53.04,53.03,734.66,735.12,1057.74,1057.71,0.32,0.32,219,219,9.17,9.17,17.16,17.16,970.48,970.48,1.35,1.35,37.95,37.89,56.89,56.9,-23.45,-23.45,-29.15,-29.15,101.85,101.85,30374.61,30393.68,26370,26411.76,34471,34463,2112.15,2113.48,2.69,2.69,459.16,459.45,3632700000000,3919500000000,9507.25,9513.22,7.01,7.01,12.04,12.04
Fembolivio,90,90,6,5,82,82,1.12,1.1,34.25,34.8,47.2,47.2,358.57,331.67,10,10,202.5,202.5,-2.83,-2.83,-7.45,-7.45,1099.62,1017.13,1338.66,1238.24,669.33,619.12,-4.38,-4.38,884.47,818.12,1638.43,1515.52,621.52,574.9,-5.29,-5.29,143.43,132.67,394.43,364.84,-6.93,-6.93,382.48,22.11,-6.16,-6.16,344.23,318.4,1984.09,1835.25,15.2,15.2,1195.24,1105.57,776.9,718.62,388.45,359.31,358.57,331.67,9.32,9.32,88.97,90.76,17.69,17.69,28.02,27,39.07,39.07,1.88,1.88,51.62,51.62,1,1,51.48,51.48,103,103,66.31,66.39,104.62,104.7,68.06,67.6,39.27,39.61,567.74,525.15,71.22,71.37,-94,-95,54.11,55.05,23.34,22.48,0.7,0.7,94.17,94.17,403.75,410.4,0,0,64,64,75.35,75.25,507.98,469.87,696.34,697.06,0.42,0.42,359.3,359.3,9.74,9.73,25.11,25.11,560.75,560.75,1.88,1.88,15.73,15.39,43.93,43.55,-48.48,-48.48,83.37,83.37,105.16,105.16,16111.54,14571.21,15149.65,13846.28,17028,15255,806.78,746.26,2.53,2.53,418.33,386.95,6800000000,8000000000,7395.2,6542.47,4.64,4.64,7.21,7.19
Wabacha,58,58,96.49,96.49,64.48,64.48,1.31,1.31,19.52,19.52,50.37,50.37,10773.12,10773.12,49.5,49.5,20.75,20.75,-20.98,-20.98,-15.75,-15.75,-13.49,-13.49,-10.95,-10.95,-20.07,-20.07,-13.27,-13.27,-19.34,-19.34,-23.4,-23.4,-16.06,-16.06,-17.32,-17.32,-17.03,-17.03,-17.78,-17.78,-13.78,-13.78,-22.89,-23.54,-12.91,-12.91,-30.64,-30.64,0,0,24.58,24.58,1795.52,1795.52,15710.8,15710.81,8304.28,8304.28,4601.02,4601.02,543.93,543.93,76.29,76.4,19.85,19.85,19.96,19.93,59.59,59.59,1.17,1.17,42.83,42.83,14.65,14.65,50.99,50.99,316,316,81.88,81.89,127.58,127.58,92.03,92.04,10.64,10.68,8192.06,8192.06,108.33,108.33,26.75,26.62,67.16,67.11,-45.6,-45.32,0.52,0.52,95.18,95.18,756.86,757.99,1,1,112,112,57.24,57.29,1795.52,1795.52,1346.47,1346.46,0.18,0.18,93.34,93.34,5.12,5.12,15.62,15.62,2066.33,2066.33,0.69,0.69,44.36,44.32,83.54,83.54,-97.66,-97.66,49.03,49.03,106.84,106.84,67780.89,67780.91,58760.3,58802.47,77020,76971,12344.2,12344.21,1.93,1.93,112.22,112.22,353000000000,353900000000,22232.13,22299.92,21.12,21.12,131.82,131.82
-United European States-,75.83,75.83,40.22,38,68.67,68.67,1.74,1.71,27.69,27.79,44.28,44.28,838.56,820.99,27.25,27.25,164.25,164.25,969,948.7,-8.2,-8.2,-9.17,-9.17,3652.38,3575.85,3652.38,3575.85,-8.81,-8.81,2981.54,2919.06,-7.94,-7.94,1267.15,1240.6,3577.84,3502.87,1714.38,1678.46,1602.58,1569,969,948.7,-12.96,-14.07,-8.66,-8.66,-5.64,-5.73,3950.54,3867.76,11.83,11.83,2236.15,2189.3,2422.5,2371.74,652.21,638.54,559.04,547.32,8.47,8.47,57.44,58.64,14.64,14.64,44.27,43.32,33.54,33.54,2.53,2.53,51,51,3.3,3.3,50.5,50.5,122,122,61.66,61.74,88.94,89.34,76.99,76.79,16.39,16.94,1118.08,1094.65,56.16,56.28,37.17,35.5,38.38,38.47,58.32,58.04,1.06,1.06,93.67,93.67,445.02,456.68,0,0,64,64,56.3,55.53,745.38,729.77,695.99,694.55,0.37,0.37,244.76,244.76,10.72,10.57,29.36,29.36,681.41,681.41,1.88,1.88,38.61,38.06,54.07,53.56,-102.47,-102.47,79.37,79.37,101.45,101.45,35517.56,34773.32,26476.19,26209.74,46094,44694,2049.81,2006.85,3.19,3.17,372.69,364.88,993800000000,1243000000000,21878.82,21385.59,5.2,5.2,9.36,9.06
Zhonghua-Diguo,39.33,39.33,56.67,52.89,44,44,2.02,1.94,27.49,27.58,43,43,1033.8,998.1,63.5,63.5,83.25,83.25,-6.32,-6.32,2255.55,2177.68,0,0,-5.29,-5.29,4060,3919.82,-9.38,-9.38,4060,3919.82,1409.72,1361.05,864.63,834.78,1503.7,1451.78,-7.07,-7.07,-10.54,-10.54,1503.7,1451.78,-10.68,-12,4435.92,4282.76,1248.07,1204.98,4060,3919.82,13.23,13.23,1597.68,1542.52,2255.55,2177.68,1221.76,1179.57,1033.8,998.1,1199.43,1199.43,49.59,51.5,16.29,16.29,39.79,38.59,23.94,23.94,18.75,18.75,52.16,52.16,3.3,3.3,53.38,53.38,129,129,65.07,65.19,89.88,90.52,77.41,77.21,9.92,10.87,1503.7,1451.78,74.3,74.52,45.5,42.67,38.72,38.88,52.88,52.41,5.98,5.98,92.85,92.85,859.48,887.06,-8,-8,67,67,63.73,62.1,845.83,816.63,1044.8,1044.39,0.28,0.28,166.38,166.38,10.38,10.12,12.6,12.6,727.89,727.89,1.4,1.4,45.08,44.13,56.64,55.9,14.14,14.14,-14.14,-14.14,106.51,106.51,47637.31,45992.52,32824.71,32339.68,66188,62794,1691.67,1633.26,2.64,2.63,563.89,544.42,72400000000,165600000000,29201.67,28101.43,13.1,13.1,19.1,18.09
